Degree,Major code,Major Name,Total,By Gender,
,,,,Men,Women
  ,  ,"Agr, Cons, Env Sci ",  ,  ,  
BS ,0130 ,Materials Science & Engr ,7,6,1
BS ,0130 ,Materials Science & Engr ,20,18,2
BS ,0130 ,Materials Science & Engr ,14,6,8
BS ,0130 ,Materials Science & Engr ,14,10,4
BS ,0130 ,Materials Science & Engr ,21,18,3
MS ,0130 ,Materials Science & Engr ,28,20,8
PHD ,0130 ,Materials Science & Engr ,149,102,47
PHD ,0130 ,Materials Science & Engr ,2,2,0
BS ,0109 ,Computer Engineering ,1184,1032,152
BS ,0115 ,Electrical Engineering ,913,786,127
MENGR ,1200 ,Electrical & Computer Engr ,89,69,20
MENGR ,1200 ,Electrical & Computer Engr ,40,37,3
MS ,1200 ,Electrical & Computer Engr ,274,225,49
MS ,1200 ,Electrical & Computer Engr ,1,1,0
PHD ,1200 ,Electrical & Computer Engr ,251,211,40
PHD ,1200 ,Electrical & Computer Engr ,2,2,0
BS ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",47,45,2
BS ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",44,35,9
BS ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",22,17,5
BS ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",10,8,2
MS ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",33,29,4
MS ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",2,2,0
PHD ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",55,51,4
PHD ,5183 ,"Nuclear, Plasma, Radiolgc Engr ",5,3,2
  ,  ,Engineering ,11463,8895,2565
,,,,,
,,,,,
  ,  ,Fine & Applied Arts ,  ,  ,  
NDEG ,0067 ,Nondegree ,38,17,21
AD ,0265 ,Music ,7,1,6
AMUSD ,0265 ,Music ,9,7,2
AMUSD ,0265 ,Music ,115,43,72
AMUSD ,0265 ,Music ,14,13,1
AMUSD ,0265 ,Music ,3,1,2
AMUSD ,0265 ,Music ,33,27,6
AMUSD ,0265 ,Music ,3,2,1
AMUSD ,0265 ,Music ,1,1,0
BA ,0265 ,Music ,54,32,22
BMA ,5646 ,Lyric Theatre ,12,2,10
BME ,0168 ,Music Education ,36,16,20
BME ,0168 ,Music Education ,20,4,16
BME ,0168 ,Music Education ,69,37,32
BME ,0168 ,Music Education ,7,2,5
BME ,0168 ,Music Education ,4,2,2
BMUS ,0157 ,Voice ,25,8,17
BMUS ,0158 ,Instrumental Music ,77,30,47
BMUS ,0159 ,Music Composition ,10,10,0
BMUS ,0161 ,Open Studies ,5,2,3
BMUS ,1481 ,Musicology ,1,0,1
BMUS ,5045 ,Jazz Performance ,31,25,6
BS ,5639 ,Computer Science and Music ,1,1,0
EDD ,0168 ,Music Education ,1,1,0
MME ,0168 ,Music Education ,10,6,4
MMUS ,0265 ,Music ,62,29,33
MMUS ,0265 ,Music ,4,3,1
MMUS ,0265 ,Music ,9,1,8
MMUS ,0265 ,Music ,3,1,2
MMUS ,0265 ,Music ,1,1,0
MMUS ,0265 ,Music ,3,2,1
MMUS ,0265 ,Music ,1,0,1
MMUS ,0265 ,Music ,16,14,2
PHD ,0168 ,Music Education ,5,4,1
PHD ,1481 ,Musicology ,17,11,6
PHD ,1481 ,Musicology ,1,0,1
BFA ,0148 ,Graphic Design ,185,58,127
BFA ,0149 ,Crafts ,1,0,1
BFA ,0149 ,Crafts ,3,0,3
BFA ,0150 ,History of Art ,8,3,5
BFA ,0151 ,Photography ,32,8,24
BFA ,0152 ,Industrial Design ,201,99,102
BFA ,0153 ,Painting ,36,4,32
BFA ,0154 ,Sculpture ,3,2,1
BFA ,0169 ,Art Education ,36,2,34
BFA ,5128 ,New Media ,29,7,22
EDM ,0169 ,Art Education ,4,1,3
MA ,0169 ,Art Education ,6,0,6
MA ,0250 ,Art History ,1,1,0
MFA ,0252 ,Art and Design ,4,1,3
MFA ,0252 ,Art and Design ,10,3,7
MFA ,0252 ,Art and Design ,14,6,8
MFA ,0252 ,Art and Design ,4,0,4
MFA ,0252 ,Art and Design ,8,5,3
MFA ,0252 ,Art and Design ,7,3,4
NONE ,4090 ,Art Foundation ,15,3,12
PHD ,0169 ,Art Education ,8,0,8
PHD ,0250 ,Art History ,13,1,12
BLA ,0156 ,Landscape Architecture ,50,20,30
MLA ,0156 ,Landscape Architecture ,44,6,38
NDEG ,0156 ,Landscape Architecture ,1,0,1
PHD ,0156 ,Landscape Architecture ,13,6,7
BA ,5504 ,Urban Studies & Planning ,25,17,8
BA ,5504 ,Urban Studies & Planning ,13,4,9
BA ,5504 ,Urban Studies & Planning ,35,27,8
BA ,5504 ,Urban Studies & Planning ,5,1,4
BA ,5504 ,Urban Studies & Planning ,2,0,2
MUP ,0155 ,Urban Planning ,52,25,27
NDEG ,0155 ,Urban Planning ,1,1,0
PHD ,0274 ,Regional Planning ,16,10,6
BS ,0146 ,Architectural Studies ,6,3,3
BS ,4091 ,Architectural Studies ,410,246,164
MARCH ,5642 ,Architecture ,162,78,83
MARCH ,5642 ,Architecture ,23,10,13
MS ,4091 ,Architectural Studies ,2,2,0
PHD ,5642 ,Architecture ,14,11,3
BA ,0261 ,Dance ,7,2,5
BFA ,0261 ,Dance ,50,2,48
MFA ,0261 ,Dance ,11,5,6
BFA ,0162 ,Theatre ,19,5,14
BFA ,0162 ,Theatre ,19,5,14
BFA ,0162 ,Theatre ,58,32,26
BFA ,0162 ,Theatre ,1,0,1
BFA ,0162 ,Theatre ,2,2,0
BFA ,0162 ,Theatre ,10,7,2
BFA ,0162 ,Theatre ,8,4,4
BFA ,0162 ,Theatre ,3,1,2
MA ,0162 ,Theatre ,5,1,4
MFA ,0162 ,Theatre ,43,15,28
MFA ,0162 ,Theatre ,10,6,4
NONE ,0162 ,Theatre ,16,5,11
PHD ,0162 ,Theatre ,7,2,5
  ,  ,Fine & Applied Arts ,2479,1124,1353
,,,,,
,,,,,
  ,  ,Graduate College ,  ,  ,  
NDEG ,0067 ,Nondegree ,10,6,4
NDEG ,0067 ,Nondegree ,5,5,0
PHD ,5094 ,Informatics ,45,26,19
  ,  ,Graduate College ,60,37,23
,,,,,
,,,,,
  ,  ,Media ,  ,  ,  
PHD ,5202 ,Communications and Media ,47,14,33
BS ,0277 ,Advertising ,626,202,424
MS ,0277 ,Advertising ,19,5,14
BS ,5201 ,Media and Cinema Studies ,85,39,46
BS ,5201 ,Media and Cinema Studies ,19,8,11
BS ,5201 ,Media and Cinema Studies ,12,3,9
BS ,0278 ,Journalism ,222,87,135
BSJ ,0381 ,Broadcast Journalism ,1,0,1
MS ,0278 ,Journalism ,5,3,2
MS ,0278 ,Journalism ,1,0,1
BS ,5284 ,Agricultural Communications ,1,0,1
BS ,5284 ,Agricultural Communications ,1,1,0
MS ,5420 ,Strategic Brand Communication ,67,17,50
NDEG ,0067 ,Nondegree ,26,13,13
NDEG ,5420 ,Strategic Brand Communication ,1,0,1
  ,  ,Media ,1133,392,741
,,,,,
,,,,,
  ,  ,Law ,  ,  ,  
JD ,0385 ,Law ,398,234,164
JSD ,0281 ,Law ,8,3,5
LLM ,0281 ,Law ,50,18,32
LLM ,0281 ,Law ,1,0,1
LLM ,0281 ,Law ,1,0,1
LLM ,0281 ,Law ,1,1,0
LLM ,0281 ,Law ,1,1,0
LLM ,0281 ,Law ,4,4,0
MSL ,5223 ,Law ,4,3,1
NDEG ,0385 ,Law ,19,5,14
  ,  ,Law ,487,269,218
,,,,,
,,,,,
  ,  ,Liberal Arts & Sci ,  ,  ,  
BALAS ,0340 ,Anthropology ,43,19,24
BALAS ,0340 ,Anthropology ,2,1,1
BALAS ,0340 ,Anthropology ,2,0,2
BALAS ,0340 ,Anthropology ,4,2,2
BALAS ,0340 ,Anthropology ,6,3,3
BALAS ,0340 ,Anthropology ,1,1,0
BALAS ,0340 ,Anthropology ,11,3,8
BSLAS ,5348 ,Computer Sci & Anthropology ,36,26,10
MA ,0340 ,Anthropology ,1,0,1
NONE ,0340 ,Anthropology ,25,5,20
PHD ,0340 ,Anthropology ,57,16,41
BSLAS ,0334 ,Atmospheric Sciences ,70,44,26
BSLAS ,0334 ,Atmospheric Sciences ,1,0,1
MS ,0334 ,Atmospheric Sciences ,12,8,4
PHD ,0334 ,Atmospheric Sciences ,32,23,9
PHD ,0334 ,Atmospheric Sciences ,2,2,0
BALAS ,0439 ,Mathematics ,1,1,0
BSLAS ,0439 ,Mathematics ,40,29,11
BSLAS ,0439 ,Mathematics ,74,35,39
BSLAS ,0439 ,Mathematics ,1,1,0
BSLAS ,0439 ,Mathematics ,15,10,5
BSLAS ,0439 ,Mathematics ,7,3,4
BSLAS ,0439 ,Mathematics ,1,1,0
BSLAS ,0439 ,Mathematics ,17,8,9
BSLAS ,0439 ,Mathematics ,1,1,0
BSLAS ,0461 ,Actuarial Science ,303,186,117
BSLAS ,0461 ,Actuarial Science ,59,23,36
BSLAS ,1438 ,Math & Computer Science ,264,218,46
BSLAS ,1438 ,Math & Computer Science ,9,7,2
MS ,0290 ,Teaching of Mathematics ,3,2,1
MS ,0327 ,Applied Mathematics ,13,8,5
MS ,0439 ,Mathematics ,13,11,2
MS ,0461 ,Actuarial Science ,36,22,14
NONE ,0439 ,Mathematics ,464,319,144
PHD ,0439 ,Mathematics ,134,85,49
PHD ,0439 ,Mathematics ,2,1,1
PHD ,0439 ,Mathematics ,2,1,1
BALAS ,5313 ,"Earth, Soc, Env Sustainability ",1,0,1
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",41,20,21
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",11,2,9
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",6,3,3
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",40,18,22
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",4,0,4
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",6,0,6
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",24,16,8
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",2,1,1
BSLAS ,5313 ,"Earth, Soc, Env Sustainability ",4,3,1
MS ,0314 ,Biology ,1,0,1
BALAS ,5535 ,Psychology ,4,0,4
BSLAS ,5535 ,Psychology ,343,84,259
BSLAS ,5535 ,Psychology ,80,12,68
BSLAS ,5535 ,Psychology ,22,7,15
BSLAS ,5535 ,Psychology ,2,0,2
BSLAS ,5535 ,Psychology ,66,15,51
